"library_system","web_address","state","popu_lsa_2019","web_visits_2019","locale_mod","cen_tract"
"IRWINDALE PUBLIC LIBRARY","https://www.irwindaleca.gov/121/Library","CA",1506,2555,21,4046
"KERN COUNTY LIBRARY","https://kernlibrary.org","CA",916464,1936841,11,16
"KINGS COUNTY LIBRARY","http://www.kingscountylibrary.org/","CA",153710,165641,23,9
"LA COUNTY LIBRARY","http://www.lacountylibrary.org","CA",3382355,1408411,21,5516
"LAKE COUNTY LIBRARY","http://library.lakecountyca.gov","CA",65071,51503,32,4
"LARKSPUR PUBLIC LIBRARY","http://www.larkspurlibrary.org","CA",12578,19393,21,1200
"LASSEN LIBRARY DISTRICT","http://www.lassenlibrary.org/","CA",15008,13705,33,403.04
"LINCOLN PUBLIC LIBRARY","http://www.libraryatlincoln.org","CA",48277,-1,41,235
"LIVERMORE PUBLIC LIBRARY","http://www.livermorelibrary.net","CA",91039,152906,13,4515.01
"LODI PUBLIC LIBRARY","library.lodi.gov","CA",68272,-1,23,42.04
"LOMPOC PUBLIC LIBRARY","http://www.cityoflompoc.com/library/","CA",59978,-1,23,28.02
"LONG BEACH PUBLIC LIBRARY","http://www.lbpl.org/","CA",475013,509419,11,5760.01
"LOOMIS LIBRARY & COMMUNITY LEARNING CENTER","https://loomislibrary.org/","CA",6887,-1,21,212.03
"LOS ANGELES PUBLIC LIBRARY","http://www.lapl.org","CA",4040079,12396327,11,2077.1
"LOS GATOS LIBRARY","http://library.losgatosca.gov","CA",30988,159052,21,5070.01
"MADERA COUNTY LIBRARY","www.maderalibrary.org","CA",159536,175876,32,8
"MARIN COUNTY FREE LIBRARY","http://www.marinlibrary.org","CA",143752,507877,21,1060.02
"MARIPOSA COUNTY LIBRARY","http://www.mariposalibrary.org","CA",18068,-1,43,1.01
"MENDOCINO COUNTY LIBRARY","https://www.mendolibrary.org","CA",89009,183256,33,114
"MENLO PARK PUBLIC LIBRARY","http://beta.menlopark.org/library","CA",35790,100868,21,6125
"MERCED COUNTY LIBRARY","http://www.mercedcountylibrary.org","CA",282928,150016,32,13.01
"MILL VALLEY PUBLIC LIBRARY","http://millvalleylibrary.org","CA",14675,118739,21,1270
"MISSION VIEJO LIBRARY","http://www.cmvl.org","CA",96434,192956,21,320.12
"MODOC COUNTY LIBRARY","http://modoccountylibrary.org","CA",9602,-1,43,1
"MONO COUNTY FREE LIBRARY","http://www.monocolibraries.org","CA",13616,-1,43,2
"MONROVIA PUBLIC LIBRARY","http://www.monroviapubliclibrary.org","CA",38529,120036,21,4310.01
"MONTEREY COUNTY FREE LIBRARIES","www.eMCFL.org","CA",234299,222337,22,143.01
"MONTEREY PARK BRUGGEMEYER LIBRARY","www.montereypark.ca.gov/Library","CA",61828,63669,21,4822.01
"MONTEREY PUBLIC LIBRARY","https://www.monterey.org/library","CA",28448,123281,22,127
"MOORPARK CITY LIBRARY","http://www.moorparklibrary.org","CA",37020,22474,22,76.06
"MORENO VALLEY PUBLIC LIBRARY","http://www.moval.org/mv-library","CA",208297,-1,21,425.21
"MOUNTAIN VIEW PUBLIC LIBRARY","http://library.mountainview.gov","CA",81992,451885,13,5096
"MURRIETA PUBLIC LIBRARY","http://www.murrietalibrary.info","CA",118125,-1,21,498
"NAPA COUNTY LIBRARY","https://www.countyofnapa.org/library/","CA",134646,211734,31,2002.02
"NATIONAL CITY PUBLIC LIBRARY","http://www.nationalcityca.gov/government/library","CA",62307,96948,21,117
"NEVADA COUNTY LIBRARY","http://mynevadacounty.com/library","CA",98904,-1,32,8.02
"NEWPORT BEACH PUBLIC LIBRARY","http://www.newportbeachlibrary.org","CA",87180,579855,13,630.08
"OAKLAND PUBLIC LIBRARY","http://oaklandlibrary.org","CA",456202,1335939,11,4034
"OCEANSIDE PUBLIC LIBRARY","http://www.oceansidepubliclibrary.org","CA",178021,-1,21,184
"ONTARIO CITY LIBRARY","http://www.ontarioca.gov/library","CA",178268,-1,12,14
"ORANGE COUNTY PUBLIC LIBRARIES","http://www.ocpl.org/","CA",1645613,3099286,21,744.03
"ORANGE PUBLIC LIBRARY","http://www.cityoforange.org/library","CA",141691,229901,12,759.01
"ORLAND FREE LIBRARY","http://www.orlandfreelibrary.net","CA",15594,18791,32,101
"OXNARD PUBLIC LIBRARY","www.oxnard.org/library","CA",209879,231641,12,87
"PACIFIC GROVE PUBLIC LIBRARY","http://www.pacificgrovelibrary.org","CA",15883,52037,22,124.01
"PALM SPRINGS PUBLIC LIBRARY","http://www.palmspringslibrary.org","CA",48733,-1,21,447.01
"PALMDALE CITY LIBRARY","http://www.cityofpalmdale.org/library","CA",157854,75177,21,9105.01
"PALO ALTO CITY LIBRARY","http://www.cityofpaloalto.org/library/","CA",69397,915627,13,5113.01
"PALO VERDE VALLEY LIBRARY DISTRICT","http://www.blythelibrary.org","CA",37942,2414,33,461.03
"PALOS VERDES LIBRARY DISTRICT","http://www.pvld.org","CA",68943,387757,21,6704.03
"PASADENA PUBLIC LIBRARY","http://cityofpasadena.net/library","CA",146312,8487323,12,4619.02
